id,customer,num_items,total,has_laptop,status
1,Lucía,5,54400,True,cancelled
2,Juan,1,350,False,completed
3,Lucía,3,3700,False,cancelled
4,Ana,1,3600,False,completed
5,Pedro,5,2550,False,cancelled
6,María,5,54250,True,cancelled
7,Ana,3,79000,True,cancelled
8,Lucía,4,10450,False,completed
9,Lucía,2,10900,False,cancelled
10,Ana,5,103400,True,cancelled
11,Lucía,3,3900,False,completed
12,Juan,2,1500,False,completed
13,Lucía,1,1800,False,completed
14,Juan,5,106000,True,cancelled
15,María,4,11300,False,cancelled
16,Pedro,3,7500,False,completed
17,Ana,5,6200,False,completed
18,Lucía,1,1050,False,completed
19,Ana,1,1600,False,cancelled
20,Carlos,4,6500,False,completed
21,Pedro,4,11550,False,completed
22,Carlos,3,7800,False,completed
23,María,1,8500,False,completed
24,Ana,5,77000,True,cancelled
25,Ana,1,3600,False,completed
26,Juan,5,26400,True,cancelled
27,Carlos,2,42000,True,completed
28,Juan,1,3600,False,cancelled
29,Lucía,2,27300,False,completed
30,Pedro,2,1650,False,completed
31,María,4,3000,False,completed
32,Ana,2,3600,False,completed
33,Carlos,1,25500,False,completed
34,Lucía,1,600,False,completed
35,María,4,76500,True,cancelled
36,Lucía,5,252400,True,cancelled
37,Carlos,4,2000,False,cancelled
38,María,1,1200,False,completed
39,María,4,26300,True,completed
40,Juan,5,9150,False,completed
41,Carlos,2,26600,True,completed
42,Juan,4,4700,False,completed
43,Juan,4,14500,False,cancelled
44,Carlos,5,106150,True,cancelled
45,Pedro,4,85250,True,cancelled
46,Ana,2,950,False,completed
47,Ana,3,18350,False,completed
48,Juan,3,21000,False,completed
49,Carlos,5,54100,True,cancelled
50,María,5,29800,False,cancelled
51,Juan,3,2650,False,completed
52,Carlos,4,55300,True,cancelled
53,Juan,2,75600,True,cancelled
54,Lucía,1,25000,True,cancelled
55,Juan,3,26850,True,completed
56,Lucía,4,27150,False,completed
57,Ana,2,34000,False,cancelled
58,María,1,800,False,completed
59,María,2,900,False,completed
60,Pedro,5,31200,False,completed
61,María,3,27550,True,cancelled
62,María,5,21050,False,cancelled
63,Lucía,1,8500,False,completed
64,Lucía,5,2800,False,cancelled
65,Ana,1,50000,True,completed
66,Juan,1,75000,True,cancelled
67,María,3,2550,False,completed
